<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;;;;;;;129;8;;;;;;;;39;20065,54785
MOEX,MDMG:TQBR;60;20210209;110000;484,7;;;;;;481,06875;0;146,0949876;;5,263157895;84,03361345;30;70;;0,00;39,2498762;19024,41499
MOEX,MDMG:TQBR;60;20210209;120000;488,7;;;;;;482,58125;0;146,0949876;;6,5;86,66666667;30;70;;0,00;39,2498762;19181,4145
MOEX,MDMG:TQBR;60;20210209;130000;495;;;;;;484,675;0;146,0949876;;9,5;90,47619048;30;70;;0,00;39,2498762;19428,68872
MOEX,MDMG:TQBR;60;20210209;140000;491,85;;;;;;486,3;0;146,0949876;;3,03960396;75,24509804;30;70;;0,00;39,2498762;19305,05161
MOEX,MDMG:TQBR;60;20210209;150000;493,9;;;;;;487,84375;0;146,0949876;;3,824175824;79,27107062;30;70;;0,00;39,2498762;19385,51385
MOEX,MDMG:TQBR;60;20210209;160000;492,2;;;;;;489,2375;0;146,0949876;;2,72;73,11827957;30;70;;0,00;39,2498762;19318,78906
MOEX,MDMG:TQBR;60;20210209;170000;499,85;;;;;;491,5375;0;146,0949876;;3,2;76,19047619;30;70;;0,00;39,2498762;19619,05062
MOEX,MDMG:TQBR;60;20210209;180000;499,95;;;;;;493,26875;0;146,0949876;;4,144329897;80,56112224;30;70;;0,00;39,2498762;19622,9756
MOEX,MDMG:TQBR;60;20210209;190000;499,95;;;;;;495,175;0;146,0949876;;3,319587629;76,849642;30;70;;0,00;39,2498762;19622,9756
MOEX,MDMG:TQBR;60;20210210;110000;491,2;;;;;;495,4875;0,297424649;0;;0,720588235;41,88034188;30;70;;19279,54;0;19279,53919
MOEX,MDMG:TQBR;60;20210210;120000;498,15;;;;;;495,88125;0;148,1620889;;1,602870813;61,58088235;30;70;;19279,54;0;19279,53919
MOEX,MDMG:TQBR;60;20210210;130000;497,5;;;;;;496,5875;0;148,1620889;;1,324324324;56,97674419;30;70;;19279,54;0;19279,53919
MOEX,MDMG:TQBR;60;20210210;140000;498,4;;;;;;497,15;0;148,1620889;;1,659574468;62,4;30;70;;19279,54;0;19279,53919
MOEX,MDMG:TQBR;60;20210210;150000;498,35;;;;;;497,91875;0;148,1620889;;0,841269841;45,68965517;30;70;;19279,54;0;19279,53919
MOEX,MDMG:TQBR;60;20210210;160000;496,75;;;;;;497,53125;0,298262887;0;;0,71040724;41,53439153;30;70;;19279,54;0;19279,53919
MOEX,MDMG:TQBR;60;20210210;170000;497,85;;;;;;497,26875;0;148,4901781;;0,809954751;44,75;30;70;;19279,54;0;19279,53919
MOEX,MDMG:TQBR;60;20210210;180000;495,95;;;;;;496,76875;0,299405541;0;;2,130952381;68,0608365;30;70;;19279,54;0;19279,53919
MOEX,MDMG:TQBR;60;20210210;190000;498,1;;;;;;497,63125;0;149,1339;;0,988095238;49,7005988;30;70;;19279,54;0;19279,53919
MOEX,MDMG:TQBR;60;20210211;110000;489;;;;;;496,4875;0,304977301;0;;0,328063241;24,70238095;30;70;;19279,54;0;19279,53919
MOEX,MDMG:TQBR;60;20210211;120000;493,8;;;;;;496,025;0,304977301;0;;0,636363636;38,88888889;30;70;;0,00;39,04321423;19279,53919
MOEX,MDMG:TQBR;60;20210211;130000;496,25;;;;;;495,75625;0;151,3449854;;0,833333333;45,45454545;30;70;;0,00;39,04321423;19375,19506
MOEX,MDMG:TQBR;60;20210211;140000;497,85;;;;;;495,69375;0;151,3449854;;1,1;52,38095238;30;70;;0,00;39,04321423;19437,66421
MOEX,MDMG:TQBR;60;20210211;150000;497,95;;;;;;495,84375;0;151,3449854;;1,009090909;50,22624434;30;70;;0,00;39,04321423;19441,56853
MOEX,MDMG:TQBR;60;20210211;160000;497,15;;;;;;495,75625;0;151,3449854;;1,121212121;52,85714286;30;70;;0,00;39,04321423;19410,33396
MOEX,MDMG:TQBR;60;20210211;170000;496;;;;;;495,7625;0;151,3449854;;0,809954751;44,75;30;70;;0,00;39,04321423;19365,43426
MOEX,MDMG:TQBR;60;20210211;180000;495,35;;;;;;495,41875;0,305531413;0;;3,442307692;77,48917749;30;70;;0,00;39,04321423;19340,05617
