<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;;;;;;;;8
MOEX;60;20220111;170000;149,44;;;;;;;;
MOEX;60;20220111;180000;148,9;;;;;;;;
MOEX;60;20220111;190000;149,94;;;;;;;;
MOEX;60;20220111;200000;150,5;;;;;;;;
MOEX;60;20220111;210000;150,14;;;;;;;;
MOEX;60;20220111;220000;150,17;;;;;;;;
MOEX;60;20220111;230000;150,3;;;;;;;;
MOEX;60;20220112;0;150,03;;;;;;;;
MOEX;60;20220112;80000;150,22;;;;;;;;
MOEX;60;20220112;90000;149,97;;;;;;;;
MOEX;60;20220112;100000;149,93;;;;;;;;
MOEX;60;20220112;110000;148,19;;;;;;;;
MOEX;60;20220112;120000;148,47;;;;;;;;
MOEX;60;20220112;130000;148,35;;;;;;;;
MOEX;60;20220112;140000;149,85;;;;;;;;
MOEX;60;20220112;150000;150,87;;;;;;;;
MOEX;60;20220112;160000;150,59;;;;;;;;
MOEX;60;20220112;170000;150,15;;;;;;;;
MOEX;60;20220112;180000;149,8;;;;;;;;
MOEX;60;20220112;190000;150,55;;;;;;;;
MOEX;60;20220112;200000;150,85;;;;;;;;
MOEX;60;20220112;210000;151,34;;;;;;;;
MOEX;60;20220112;220000;151,25;;;;;;;;
MOEX;60;20220112;230000;151,45;;;;;;;;
MOEX;60;20220113;0;151,38;;;;;;;;
MOEX;60;20220113;80000;151,06;;;;;;;;
MOEX;60;20220113;90000;150,67;;;;;;;;
MOEX;60;20220113;100000;150,82;;;;;;;;
MOEX;60;20220113;110000;152,27;;;;;;;;
MOEX;60;20220113;120000;152,14;;;;;;;;
MOEX;60;20220113;130000;152,15;;;;;;;;
MOEX;60;20220113;140000;151,76;;;;;;;;
MOEX;60;20220113;150000;148,37;;;;;;;;
MOEX;60;20220113;160000;148,24;;;;;;;;
MOEX;60;20220113;170000;148,66;;;;;;;;
MOEX;60;20220113;180000;146,47;;;;;;;;
MOEX;60;20220113;190000;146,48;;;;;;;;
MOEX;60;20220113;200000;147,69;;;;;;;;
MOEX;60;20220113;210000;148;;;;;;;;
MOEX;60;20220113;220000;148,13;;;;;;;;
MOEX;60;20220113;230000;147,75;;;;;;;;
MOEX;60;20220114;0;147,65;;;;;;;;
MOEX;60;20220114;80000;148,62;;;;;;;;
MOEX;60;20220114;90000;148,2;;;;;;;;
MOEX;60;20220114;100000;148,23;;;;;;;;
MOEX;60;20220114;110000;147,33;;;;;;;;
MOEX;60;20220114;120000;147,29;;;;;;;;
MOEX;60;20220114;130000;147,44;;;;;;;;
MOEX;60;20220114;140000;145,07;;;;;;;;
MOEX;60;20220114;150000;142,72;;;;;;;;
MOEX;60;20220114;160000;141,33;;;;;;;;
MOEX;60;20220114;170000;140,29;;;;;;;;
MOEX;60;20220114;180000;143,3;;;;;;;;
MOEX;60;20220114;190000;142,25;;;;;;;;
MOEX;60;20220114;200000;144,3;;;;;;;;
MOEX;60;20220114;210000;144,05;;;;;;;;
MOEX;60;20220114;220000;143,6;;;;;;;;
MOEX;60;20220114;230000;144,1;;;;;;;;
MOEX;60;20220115;0;144,27;;;;;;;;
MOEX;60;20220117;80000;143,17;;;;;;;;
