<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX;D;20211126;0;153.3000000;154.2700000;149.5000000;150.0500000;11,816,940
MOEX;D;20211129;0;151.9100000;154.1300000;151.2000000;152.0700000;8,442,950
MOEX;D;20211130;0;150.0300000;153.5900000;148.7400000;151.1500000;19,217,950
MOEX;D;20211201;0;152.8200000;159.1400000;152.3500000;157.2100000;14,537,420
MOEX;D;20211202;0;157.9000000;161.4600000;157.2200000;161.0000000;11,516,670
MOEX;D;20211203;0;162.1800000;163.4200000;157.0000000;157.8000000;14,001,530
MOEX;D;20211206;0;158.4900000;160.0000000;154.0000000;156.7000000;7,302,290
MOEX;D;20211207;0;156.7000000;160.6200000;152.8000000;160.2400000;12,235,630
MOEX;D;20211208;0;160.2600000;161.9900000;155.1500000;156.5000000;8,337,460
MOEX;D;20211209;0;157.0200000;157.6300000;153.5400000;154.2200000;7,114,230
MOEX;D;20211210;0;154.4000000;154.7400000;150.7500000;152.5300000;5,902,250
MOEX;D;20211213;0;152.2400000;153.9400000;147.2200000;148.1500000;9,695,760
MOEX;D;20211214;0;147.9100000;149.5000000;138.7300000;148.0600000;12,752,420
MOEX;D;20211215;0;148.1100000;149.8700000;144.6000000;147.0000000;12,598,640
MOEX;D;20211216;0;147.3000000;149.4900000;146.4000000;147.7500000;13,357,690
MOEX;D;20211217;0;147.5100000;148.7900000;144.7000000;147.4800000;14,051,230
MOEX;D;20211220;0;147.3000000;147.3000000;143.6400000;145.7200000;8,909,190
MOEX;D;20211221;0;146.0000000;146.8000000;144.2700000;145.3000000;5,938,490
MOEX;D;20211222;0;145.4800000;148.0000000;144.5700000;146.7000000;6,101,130
MOEX;D;20211223;0;147.3300000;150.3700000;146.5100000;149.1900000;9,933,320
MOEX;D;20211224;0;149.7100000;152.9700000;148.1100000;149.5300000;6,319,590
MOEX;D;20211227;0;149.5500000;153.5200000;149.5300000;151.7000000;7,256,520
MOEX;D;20211228;0;152.1900000;153.3400000;151.2700000;151.4200000;7,215,620
MOEX;D;20211229;0;151.8400000;152.5900000;150.8000000;152.5700000;5,271,050
MOEX;D;20211230;0;152.6400000;153.6700000;152.1000000;153.2200000;5,319,850
