<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
AFLT;60;20201204;190000;74,2
AFLT;60;20201204;200000;74,12
AFLT;60;20201204;210000;74,16
AFLT;60;20201204;220000;74,12
AFLT;60;20201204;230000;74,14
AFLT;60;20201205;0;74,14
AFLT;60;20201207;110000;75
AFLT;60;20201207;120000;74,36
AFLT;60;20201207;130000;74,36
AFLT;60;20201207;140000;73,96
AFLT;60;20201207;150000;74,02
AFLT;60;20201207;160000;74
AFLT;60;20201207;170000;74,34
AFLT;60;20201207;180000;74,26
AFLT;60;20201207;190000;73,9
AFLT;60;20201207;200000;73,98
AFLT;60;20201207;210000;74,06
AFLT;60;20201207;220000;74,04
AFLT;60;20201207;230000;73,94
AFLT;60;20201208;0;74
AFLT;60;20201208;110000;73,02
AFLT;60;20201208;120000;73,5
AFLT;60;20201208;130000;73,22
AFLT;60;20201208;140000;73,1
AFLT;60;20201208;150000;72,96
AFLT;60;20201208;160000;72,66
AFLT;60;20201208;170000;72,14
AFLT;60;20201208;180000;72,06
AFLT;60;20201208;190000;72,22
AFLT;60;20201208;200000;72,2
AFLT;60;20201208;210000;72,46
AFLT;60;20201208;220000;72,36
AFLT;60;20201208;230000;72,6
AFLT;60;20201209;0;72,7
AFLT;60;20201209;110000;72,26
AFLT;60;20201209;120000;72,7
AFLT;60;20201209;130000;73,04
AFLT;60;20201209;140000;72,5
AFLT;60;20201209;150000;72,46
AFLT;60;20201209;160000;72,62
AFLT;60;20201209;170000;72,64
AFLT;60;20201209;180000;72,42
AFLT;60;20201209;190000;72
AFLT;60;20201209;200000;72,14
AFLT;60;20201209;210000;72,08
AFLT;60;20201209;220000;72
AFLT;60;20201209;230000;72,06
AFLT;60;20201210;0;72
AFLT;60;20201210;110000;72,08
AFLT;60;20201210;120000;71,94
AFLT;60;20201210;130000;72
AFLT;60;20201210;140000;72,34
AFLT;60;20201210;150000;71,98
AFLT;60;20201210;160000;71,64
AFLT;60;20201210;170000;71,22
AFLT;60;20201210;180000;71,52
AFLT;60;20201210;190000;71,82
AFLT;60;20201210;200000;71,7
AFLT;60;20201210;210000;71,86
AFLT;60;20201210;220000;72,04
AFLT;60;20201210;230000;72,02
AFLT;60;20201211;0;72,18
AFLT;60;20201211;110000;72,58
AFLT;60;20201211;120000;71,92
AFLT;60;20201211;130000;71,78
AFLT;60;20201211;140000;71,52
AFLT;60;20201211;150000;71,52
AFLT;60;20201211;160000;71,5
AFLT;60;20201211;170000;71,58
AFLT;60;20201211;180000;71,3
AFLT;60;20201211;190000;71,26
AFLT;60;20201211;200000;71,66
AFLT;60;20201211;210000;71,84
AFLT;60;20201211;220000;71,78
AFLT;60;20201211;230000;71,7
AFLT;60;20201212;0;71,76
AFLT;60;20201214;110000;72,1
AFLT;60;20201214;120000;72,1
AFLT;60;20201214;130000;71,9
AFLT;60;20201214;140000;71,7
AFLT;60;20201214;150000;71,44
AFLT;60;20201214;160000;71,5
AFLT;60;20201214;170000;71,3
AFLT;60;20201214;180000;70,84
AFLT;60;20201214;190000;70,5
AFLT;60;20201214;200000;70,38
AFLT;60;20201214;210000;70,82
AFLT;60;20201214;220000;70,78
AFLT;60;20201214;230000;71,04
AFLT;60;20201215;0;71,08
AFLT;60;20201215;110000;70,18
AFLT;60;20201215;120000;70,62
AFLT;60;20201215;130000;70,64
AFLT;60;20201215;140000;70,3
AFLT;60;20201215;150000;70,26
AFLT;60;20201215;160000;69,72
AFLT;60;20201215;170000;69,98
AFLT;60;20201215;180000;69,9
AFLT;60;20201215;190000;70,08
AFLT;60;20201215;200000;70,06
AFLT;60;20201215;210000;70,16
AFLT;60;20201215;220000;70,16
AFLT;60;20201215;230000;70,18
AFLT;60;20201216;0;70,24
AFLT;60;20201216;110000;70,1
AFLT;60;20201216;120000;70,04
AFLT;60;20201216;130000;69,92
AFLT;60;20201216;140000;69,88
AFLT;60;20201216;150000;70,34
AFLT;60;20201216;160000;70,54
AFLT;60;20201216;170000;71,12
AFLT;60;20201216;180000;70,88
AFLT;60;20201216;190000;70,98
AFLT;60;20201216;200000;71,14
AFLT;60;20201216;210000;71,38
AFLT;60;20201216;220000;71,32
AFLT;60;20201216;230000;71,34
AFLT;60;20201217;0;71,46
AFLT;60;20201217;110000;72,12
AFLT;60;20201217;120000;71,7
AFLT;60;20201217;130000;71,14
AFLT;60;20201217;140000;71,4
